stat_month,insurance_type,visit_count,total_amount,total_reimburse,avg_amount,reimburse_rate,etl_date
2023-08,城镇职工,175,2603164.44,1211273.36,14875.23,0.4653,2026-07-02
2023-08,灵活就业,71,1123509.7,631444.5,15824.08,0.562,2026-07-02
2023-09,城乡居民,168,1714377.65,1092991.75,10204.63,0.6375,2026-07-02
2023-09,城镇职工,173,2295088.58,1358628.01,13266.41,0.592,2026-07-02
2023-09,灵活就业,64,613414.4,388463.48000000004,9584.6,0.6333,2026-07-02
2023-10,城乡居民,147,1802012.27,933550.85,12258.59,0.5181,2026-07-02
2023-10,城镇职工,179,2304133.02,1565098.5799999998,12872.25,0.6793,2026-07-02
2023-10,灵活就业,81,1582293.29,989215.0,19534.49,0.6252,2026-07-02
2023-11,城乡居民,187,2424742.33,1264108.43,12966.54,0.5213,2026-07-02
2023-11,城镇职工,167,2377090.54,1374420.74,14234.08,0.5782,2026-07-02
2023-11,灵活就业,43,558166.62,388311.56,12980.62,0.6957,2026-07-02
2023-12,城乡居民,178,1853155.59,1062288.26,10410.99,0.5732,2026-07-02
2023-12,城镇职工,185,2403450.23,1458519.75,12991.62,0.6068,2026-07-02
2023-12,灵活就业,64,661681.7,317931.59,10338.78,0.4805,2026-07-02
2024-01,城乡居民,182,2994768.84,1781334.09,16454.77,0.5948,2026-07-02
2024-01,城镇职工,201,2474704.0,1471687.02,12311.96,0.5947,2026-07-02
2024-01,灵活就业,64,1330261.3699999999,643484.4299999999,20785.33,0.4837,2026-07-02
2024-02,城乡居民,176,2174413.44,1264441.41,12354.62,0.5815,2026-07-02
2024-02,城镇职工,184,2325705.47,1350467.55,12639.7,0.5807,2026-07-02
2024-02,灵活就业,57,1068890.4200000002,554096.98,18752.46,0.5184,2026-07-02
2024-03,城乡居民,169,2832141.51,1543766.96,16758.23,0.5451,2026-07-02
2024-03,城镇职工,202,2835456.43,1565739.57,14036.91,0.5522,2026-07-02
2024-03,灵活就业,54,727241.41,434868.31,13467.43,0.598,2026-07-02
2024-04,城乡居民,157,2499845.44,1426507.31,15922.58,0.5706,2026-07-02
2024-04,城镇职工,157,2332622.67,1372602.8800000001,14857.47,0.5884,2026-07-02
2024-04,灵活就业,71,1632323.3099999998,818330.1,22990.47,0.5013,2026-07-02
2024-05,城乡居民,158,2163152.04,1196906.75,13690.84,0.5533,2026-07-02
2024-05,城镇职工,191,2083822.73,1094105.67,10910.07,0.525,2026-07-02
2024-05,灵活就业,66,966212.41,582355.73,14639.58,0.6027,2026-07-02
2024-06,城乡居民,177,2824226.42,1848666.81,15956.08,0.6546,2026-07-02
2024-06,城镇职工,185,2922344.07,1511016.47,15796.45,0.5171,2026-07-02
2024-06,灵活就业,77,984807.36,501077.23,12789.71,0.5088,2026-07-02
2024-07,城乡居民,154,2024587.04,1105680.39,13146.67,0.5461,2026-07-02
2024-07,城镇职工,192,2854155.87,1391913.21,14865.4,0.4877,2026-07-02
2024-07,灵活就业,70,1507548.22,790193.31,21536.4,0.5242,2026-07-02
2024-08,城乡居民,162,2484017.53,1236105.72,15333.44,0.4976,2026-07-02
2024-08,城镇职工,195,3276865.14,1469956.8,16804.44,0.4486,2026-07-02
2024-08,灵活就业,58,1215728.38,868916.6,20960.83,0.7147,2026-07-02
2024-09,城乡居民,162,1531628.75,951401.51,9454.5,0.6212,2026-07-02
2024-09,城镇职工,205,2720857.66,1529956.79,13272.48,0.5623,2026-07-02
2024-09,灵活就业,58,1255889.1099999999,600698.3,21653.26,0.4783,2026-07-02
2024-10,城乡居民,185,3148364.11,1449321.26,17018.18,0.4603,2026-07-02
2024-10,城镇职工,197,2613783.35,1570575.92,13267.94,0.6009,2026-07-02
2024-10,灵活就业,84,1008197.88,515699.45,12002.36,0.5115,2026-07-02
2024-11,城乡居民,160,2904763.4699999997,1578769.01,18154.77,0.5435,2026-07-02
2024-11,城镇职工,205,2612815.08,1402115.76,12745.44,0.5366,2026-07-02
2024-11,灵活就业,60,1118962.43,717737.12,18649.37,0.6414,2026-07-02
2024-12,城乡居民,157,2854163.93,1539990.58,18179.39,0.5396,2026-07-02
2024-12,城镇职工,205,3278334.04,1901361.72,15991.87,0.58,2026-07-02
2024-12,灵活就业,61,1589349.08,954841.14,26054.9,0.6008,2026-07-02
